year	Source	Population
1950	World Population 1950-2013 (US Census)	2557.63
1950	UN Projection (Medium) - 2012 Revision	2526
1951	World Population 1950-2013 (US Census)	2594.92
1952	World Population 1950-2013 (US Census)	2636.73
1953	World Population 1950-2013 (US Census)	2681.99
1954	World Population 1950-2013 (US Census)	2730.15
1955	World Population 1950-2013 (US Census)	2782
1956	World Population 1950-2013 (US Census)	2835.18
1957	World Population 1950-2013 (US Census)	2891.21
1958	World Population 1950-2013 (US Census)	2947.98
1959	World Population 1950-2013 (US Census)	3000.54
1960	World Population after 1000 CE (Kremer's estimates)	3019
1960	World Population 1950-2013 (US Census)	3042.83
1960	UN Projection (Medium) - 2012 Revision	3026
1961	World Population 1950-2013 (US Census)	3083.8
1962	World Population 1950-2013 (US Census)	3139.92
1963	World Population 1950-2013 (US Census)	3209.63
1964	World Population 1950-2013 (US Census)	3280.98
1965	World Population 1950-2013 (US Census)	3350.19
1966	World Population 1950-2013 (US Census)	3420.42
1967	World Population 1950-2013 (US Census)	3490.05
1968	World Population 1950-2013 (US Census)	3562.01
1969	World Population 1950-2013 (US Census)	3636.83
1970	World Population after 1000 CE (Kremer's estimates)	3693
1970	World Population 1950-2013 (US Census)	3712.34
1970	UN Projection (Medium) - 2012 Revision	3691
1971	World Population 1950-2013 (US Census)	3789.94
1972	World Population 1950-2013 (US Census)	3866.16
1973	World Population 1950-2013 (US Census)	3941.66
1974	World Population 1950-2013 (US Census)	4016.16
1975	World Population 1950-2013 (US Census)	4088.62
1976	World Population 1950-2013 (US Census)	4159.72
1977	World Population 1950-2013 (US Census)	4231.62
1978	World Population 1950-2013 (US Census)	4303.65
1979	World Population 1950-2013 (US Census)	4378.57
1980	World Population after 1000 CE (Kremer's estimates)	4450
1980	World Population 1950-2013 (US Census)	4450.93
1980	UN Projection (Medium) - 2012 Revision	4449
1981	World Population 1950-2013 (US Census)	4533.93
1982	World Population 1950-2013 (US Census)	4614.02
1983	World Population 1950-2013 (US Census)	4695.11
1984	World Population 1950-2013 (US Census)	4773.87
1985	World Population 1950-2013 (US Census)	4855.69
1986	World Population 1950-2013 (US Census)	4939.72
1987	World Population 1950-2013 (US Census)	5026.26
1988	World Population 1950-2013 (US Census)	5113.55
1989	World Population 1950-2013 (US Census)	5200.38
1990	World Population after 1000 CE (Kremer's estimates)	5333
1990	World Population 1950-2013 (US Census)	5287.87
1990	UN Projection (Medium) - 2012 Revision	5321
1991	World Population 1950-2013 (US Census)	5370.83
1992	World Population 1950-2013 (US Census)	5455.72
1993	World Population 1950-2013 (US Census)	5538.2
1994	World Population 1950-2013 (US Census)	5618.94
1995	World Population 1950-2013 (US Census)	5699.77
1996	World Population 1950-2013 (US Census)	5780.31
1997	World Population 1950-2013 (US Census)	5859.12
1998	World Population 1950-2013 (US Census)	5936.61
1999	World Population 1950-2013 (US Census)	6013.68
2000	World Population 1950-2013 (US Census)	6090.32
2000	UN Projection (Medium) - 2012 Revision	6128
2001	World Population 1950-2013 (US Census)	6167.06
2002	World Population 1950-2013 (US Census)	6243.87
2003	World Population 1950-2013 (US Census)	6320.37
2004	World Population 1950-2013 (US Census)	6397.32
2005	World Population 1950-2013 (US Census)	6474.23
2006	World Population 1950-2013 (US Census)	6552.1
2007	World Population 1950-2013 (US Census)	6630.76
2008	World Population 1950-2013 (US Census)	6709.62
2009	World Population 1950-2013 (US Census)	6788.2
2010	World Population 1950-2013 (US Census)	6866.05
2010	UN Projection (Medium) - 2012 Revision	6916
2011	World Population 1950-2013 (US Census)	6943.44
2012	World Population 1950-2013 (US Census)	7020.76
2013	World Population 1950-2013 (US Census)	7098.5
2020	UN Projection (Medium) - 2012 Revision	7717
2030	UN Projection (Medium) - 2012 Revision	8425
2040	UN Projection (Medium) - 2012 Revision	9039
2050	UN Projection (Medium) - 2012 Revision	9551
2060	UN Projection (Medium) - 2012 Revision	9957
2070	UN Projection (Medium) - 2012 Revision	10277
2080	UN Projection (Medium) - 2012 Revision	10524
2090	UN Projection (Medium) - 2012 Revision	10717
2100	UN Projection (Medium) - 2012 Revision	10854
